_id,代码,股票名称
ObjectId(5d84193b067cbab2e44157e3),603315,福鞍股份
ObjectId(5d84193b067cbab2e44157e4),603313,梦百合
ObjectId(5d84193b067cbab2e44157e5),603311,金海环境
ObjectId(5d84193b067cbab2e44157e6),603309,XD维力医
ObjectId(5d84193b067cbab2e44157e7),603308,应流股份
ObjectId(5d84193b067cbab2e44157e8),603306,华懋科技
ObjectId(5d84193b067cbab2e44157e9),603305,旭升股份
ObjectId(5d84193b067cbab2e44157ea),603303,得邦照明
ObjectId(5d84193b067cbab2e44157eb),603301,振德医疗
ObjectId(5d84193b067cbab2e44157ec),603300,华铁科技
ObjectId(5d84193b067cbab2e44157ed),603289,泰瑞机器
ObjectId(5d84193b067cbab2e44157ee),603299,苏盐井神
ObjectId(5d84193b067cbab2e44157ef),603288,海天味业
ObjectId(5d84193b067cbab2e44157f0),603298,杭叉集团
ObjectId(5d84193b067cbab2e44157f1),603286,日盈电子
ObjectId(5d84193b067cbab2e44157f2),603297,永新光学
ObjectId(5d84193b067cbab2e44157f3),603283,赛腾股份
ObjectId(5d84193b067cbab2e44157f4),603278,大业股份
ObjectId(5d84193b067cbab2e44157f5),603277,银都股份
ObjectId(5d84193b067cbab2e44157f6),603269,海鸥股份
ObjectId(5d84193b067cbab2e44157f7),603266,天龙股份
ObjectId(5d84193b067cbab2e44157f8),603267,鸿远电子
ObjectId(5d84193b067cbab2e44157f9),603268,松发股份
ObjectId(5d84193b067cbab2e44157fa),603260,合盛硅业
ObjectId(5d84193b067cbab2e44157fb),603259,药明康德
ObjectId(5d84193b067cbab2e44157fc),603258,电魂网络
ObjectId(5d84193b067cbab2e44157fd),603239,浙江仙通
ObjectId(5d84193b067cbab2e44157fe),603238,诺邦股份
ObjectId(5d84193b067cbab2e44157ff),603233,DR大参林
ObjectId(5d84193b067cbab2e4415800),603232,DR格尔软
ObjectId(5d84193b067cbab2e4415801),603229,奥翔药业
ObjectId(5d84193b067cbab2e4415802),603228,景旺电子
ObjectId(5d84193b067cbab2e4415803),603227,雪峰科技
ObjectId(5d84193b067cbab2e4415804),603226,菲林格尔
ObjectId(5d84193b067cbab2e4415805),603225,新凤鸣
ObjectId(5d84193b067cbab2e4415806),603223,恒通股份
ObjectId(5d84193b067cbab2e4415807),603220,贝通信
ObjectId(5d84193b067cbab2e4415808),603208,江山欧派
ObjectId(5d84193b067cbab2e4415809),603218,日月股份
ObjectId(5d84193b067cbab2e441580a),603222,济民制药
ObjectId(5d84193b067cbab2e441580b),603200,上海洗霸
ObjectId(5d84193b067cbab2e441580c),603203,快克股份
